Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"30308, USA",,10/01/2018,84.2,69.7,75.5,,85,0,,8.2,,44.8,72.99,Partially cloudy
,"30308, USA",,10/02/2018,84.8,64.2,74,,85.5,0,,4.9,,17.3,71.22,Clear
,"30308, USA",,10/03/2018,87,65,75.3,,87.6,0,,5.7,,20.2,71.84,Clear
,"30308, USA",,10/04/2018,88.5,66.3,76.9,,90.1,0,,8.3,,8.6,71.33,Clear
,"30308, USA",,10/05/2018,90.5,67.1,78.2,,92.2,0,,6.3,,19.7,71.3,Clear
,"30308, USA",,10/06/2018,89.5,69.2,78.1,,91,0,,7.7,,20.8,73.06,Clear
,"30308, USA",,10/07/2018,87.2,69.5,77.7,,88.6,0,,8.5,,41.9,69.45,Partially cloudy
,"30308, USA",,10/08/2018,83.5,71.2,77,,86.6,0,,11.7,,55.9,73.41,Partially cloudy
,"30308, USA",,10/09/2018,80,70.6,74.4,,82.8,0.1,,14.9,,90.6,82.59,"Rain, Overcast"
,"30308, USA",,10/10/2018,81.7,71.5,75,,85.9,2.5,,16.4,40.3,94.3,90.54,"Rain, Overcast"
,"30308, USA",,10/11/2018,79.1,61.9,72.7,,,2.1,,19.3,35.6,59.9,76.43,"Rain, Partially cloudy"
,"30308, USA",,10/12/2018,72.8,51.2,60.7,,,0,,13.9,,8,61.6,Clear
,"30308, USA",,10/13/2018,72.4,54.6,61.8,,,0,,10.4,,24,67.74,Clear
,"30308, USA",,10/14/2018,79.3,57.3,66.7,,,0,,8.8,,29.1,71.75,Partially cloudy
,"30308, USA",,10/15/2018,80.5,61.5,69.3,,83,0,,6.4,,51.5,85.51,Partially cloudy
,"30308, USA",,10/16/2018,81,66.4,71.2,,84,0,,10.7,,68.9,85.24,Partially cloudy
,"30308, USA",,10/17/2018,73.3,60.7,66.1,,,0,,10.8,,57.6,71.91,Partially cloudy
,"30308, USA",,10/18/2018,72.6,53.4,62.1,,,0,,8.4,,18.3,60.82,Clear
,"30308, USA",,10/19/2018,65.4,51.9,59.1,,,0,,6.7,,53.9,73.59,Partially cloudy
,"30308, USA",,10/20/2018,66.5,57.5,62.7,,,0.2,,11.4,,78.4,85.45,"Rain, Overcast"
,"30308, USA",,10/21/2018,63.3,41.6,53.1,36.6,,0,,14.1,31.1,2.9,50.75,Clear
,"30308, USA",,10/22/2018,65.6,39.1,51,,,0,,8.3,,14.4,66.57,Clear
,"30308, USA",,10/23/2018,67.6,47.8,56.1,,,0,,7,,27.1,69.8,Partially cloudy
,"30308, USA",,10/24/2018,71.9,42.4,56.9,47.3,,0,,8.8,,19.3,68.17,Clear
,"30308, USA",,10/25/2018,57,48.5,54.3,44,,0.1,,11,,56.2,68.12,"Rain, Partially cloudy"
,"30308, USA",,10/26/2018,51.6,47.5,49.2,42.7,,0.7,,13.6,,100,95.81,"Rain, Overcast"
,"30308, USA",,10/27/2018,58.3,51.2,54.3,,,0,,14,,96.1,82.39,Overcast
,"30308, USA",,10/28/2018,72.4,43.3,57.8,44.2,,0,,13.2,,15.8,76.16,Clear
,"30308, USA",,10/29/2018,69.5,48.7,58.9,48.3,,0,,12,,8.1,57.91,Clear
,"30308, USA",,10/30/2018,70.6,42.4,55.1,,,0,,7.7,,12,67.83,Clear
,"30308, USA",,10/31/2018,76.3,49.3,61.1,,,0,,9.1,,29.6,74.84,Partially cloudy
,"30308, USA",,11/01/2018,68.9,60.7,63.2,,,0.4,,11.8,,68.7,88.3,"Rain, Partially cloudy"
,"30308, USA",,11/02/2018,62.5,44,56.4,41.6,,0.1,,15.2,29.8,88.9,86.07,"Rain, Overcast"
,"30308, USA",,11/03/2018,63.2,39.4,49.7,37.8,,0,,6.8,,5.8,76.28,Clear
,"30308, USA",,11/04/2018,64.7,42,53.8,39.5,,0,,12.3,,46.3,73.95,Partially cloudy
,"30308, USA",,11/05/2018,63.3,54.9,59.3,,,0.2,,6.9,,98.5,94.31,"Rain, Overcast"
,"30308, USA",,11/06/2018,70.6,54.4,64.9,,,0.4,,10.6,,82.3,87.1,"Rain, Overcast"
,"30308, USA",,11/07/2018,73.2,46.3,57.5,,,0.6,,10.3,,46.3,85.82,"Rain, Partially cloudy"
,"30308, USA",,11/08/2018,62.2,55.5,58.4,,,0,,9,,99.7,88.91,Overcast
,"30308, USA",,11/09/2018,58.1,44.2,54.3,37.5,,0.7,,17.5,36.7,98.9,94.47,"Rain, Overcast"
,"30308, USA",,11/10/2018,48.8,34.8,41.2,26.3,,0,,14.7,32.2,9.3,64.47,Clear
,"30308, USA",,11/11/2018,54.6,33.9,44.6,30,,0,,11.3,,42.1,59.15,Partially cloudy
,"30308, USA",,11/12/2018,47.8,40.9,44.1,33.8,,2.7,,12.8,,99.2,87.74,"Rain, Overcast"
,"30308, USA",,11/13/2018,50.3,44.2,47.3,39.5,,0.4,,11.9,,99.8,94.63,"Rain, Overcast"
,"30308, USA",,11/14/2018,48.5,43.1,45.5,38.1,,0.7,,12.4,,99.8,92.91,"Rain, Overcast"
,"30308, USA",,11/15/2018,43.6,33.7,39.8,24.2,,0.8,,15.5,33.3,100,89.61,"Rain, Overcast"
,"30308, USA",,11/16/2018,54.9,31.1,41.3,24.1,,0,,12.7,31.1,33.9,70.33,Partially cloudy
,"30308, USA",,11/17/2018,64.8,33.5,47.1,,,0,,4.7,,11.6,74.51,Clear
,"30308, USA",,11/18/2018,63.9,37.3,48.9,,,0,,3.6,,9.4,78.25,Clear
,"30308, USA",,11/19/2018,65.8,39.7,53,,,0,,7.7,,37.2,74.6,Partially cloudy
,"30308, USA",,11/20/2018,56.4,40.4,51.4,35.1,,0,,14.5,,46,69.43,Partially cloudy
,"30308, USA",,11/21/2018,56.4,33.1,44.3,31.2,,0,,9.7,,5.3,63.75,Clear
,"30308, USA",,11/22/2018,59.4,33.3,44.8,,,0,,6.2,,15.4,68.9,Clear
,"30308, USA",,11/23/2018,48,39.1,42.4,33,,0,,15.6,,63.1,79.25,Partially cloudy
,"30308, USA",,11/24/2018,49.3,37.1,42.9,30.1,,0.4,,10.8,,100,92.75,"Rain, Overcast"
,"30308, USA",,11/25/2018,55.8,43.5,48.6,43,,0.1,,7.4,,52.1,88.7,"Rain, Partially cloudy"
,"30308, USA",,11/26/2018,52.8,35.9,45,29.6,,0,,20.6,33.8,82.1,74.56,Overcast
,"30308, USA",,11/27/2018,42.7,30.8,35.6,22.3,,0,,18.9,33.8,18,56.5,Clear
,"30308, USA",,11/28/2018,44.2,26.2,33.6,17.1,,0,,14.9,,6.1,53.21,Clear
,"30308, USA",,11/29/2018,57.5,27.5,42.9,48.1,,0,,8,,63.6,68.29,Partially cloudy
,"30308, USA",,11/30/2018,68.3,51.2,58.8,,,0,,8.9,,95.2,69.41,Overcast
,"30308, USA",,12/01/2018,59.2,51.4,55.2,,,1.9,,9.9,,92,89.63,"Rain, Overcast"
,"30308, USA",,12/02/2018,72,49.7,63.5,,,0,,10.9,,54.4,75.79,Partially cloudy
,"30308, USA",,12/03/2018,63.6,44.3,52.5,39.7,,0,,13.4,29.8,34.1,62.27,Partially cloudy
,"30308, USA",,12/04/2018,47.8,35.5,41.7,31.4,,0,,13.8,33.3,15,60.37,Clear
,"30308, USA",,12/05/2018,42.7,30.1,35.4,24.3,,0,,15.3,,10.2,61.74,Clear
,"30308, USA",,12/06/2018,49.6,25.8,36.8,23.1,,0,,7.4,,21.8,56.32,Clear
,"30308, USA",,12/07/2018,46.5,35.6,42.2,37.6,,0,,6.8,,90.6,72.34,Overcast
,"30308, USA",,12/08/2018,44.8,38.8,41.1,29.9,,1.6,,17.4,40.3,100,93.05,"Rain, Overcast"
,"30308, USA",,12/09/2018,38.6,35.2,37,26.5,,1,,16.7,35.6,100,91.07,"Rain, Overcast"
,"30308, USA",,12/10/2018,42.5,38.6,40,34.2,,0.1,,9.2,,99.9,93.27,"Rain, Overcast"
,"30308, USA",,12/11/2018,51.6,32.3,40.9,27.6,,0,,9.7,,29.1,68.44,Partially cloudy
,"30308, USA",,12/12/2018,51.6,28.6,38.2,38.5,,0,,7,,17.8,69.38,Clear
,"30308, USA",,12/13/2018,52.5,34.5,43.7,36.8,,0,,11,,46.5,69.57,Partially cloudy
,"30308, USA",,12/14/2018,49.7,45,48,39.3,,0.7,,12.9,,100,92.2,"Rain, Overcast"
,"30308, USA",,12/15/2018,52.1,47.8,49.4,45.2,,0,,9.9,,94.8,88.53,Overcast
,"30308, USA",,12/16/2018,51.9,46.7,49.2,43.6,,0,,13.5,,96.8,85.55,Overcast
,"30308, USA",,12/17/2018,60.7,43.9,50.7,40.7,,0,,14.1,,16.7,68.09,Clear
,"30308, USA",,12/18/2018,63.6,40.6,49.1,35.3,,0,,11.9,,14.2,56.56,Clear
,"30308, USA",,12/19/2018,57.2,40.4,48.4,39.3,,0,,10.3,,29.8,69.8,Partially cloudy
,"30308, USA",,12/20/2018,51.1,45.6,48.4,40,,1,,11.6,,99.8,91.51,"Rain, Overcast"
,"30308, USA",,12/21/2018,50.1,39.5,45.3,31.6,,0.6,,17.9,34.4,100,89.95,"Rain, Overcast"
,"30308, USA",,12/22/2018,51.4,35.3,41.6,30.9,,0,,12.5,,37.7,72.73,Partially cloudy
,"30308, USA",,12/23/2018,59.5,31,45,40.5,,0,,15.2,,40,83.92,Partially cloudy
,"30308, USA",,12/24/2018,52,33.6,42,27.3,,0,,12.5,,18.9,70.2,Clear
,"30308, USA",,12/25/2018,56.4,30.1,43.2,38.5,,0,,5.5,,35.1,68.2,Partially cloudy
,"30308, USA",,12/26/2018,57.8,36.1,47,33.8,,0,,9.7,,26.4,69.7,Partially cloudy
,"30308, USA",,12/27/2018,52.9,46.6,49.1,41.1,,0.7,,12,29.8,99.3,71.52,"Rain, Overcast"
,"30308, USA",,12/28/2018,62,49.6,55.4,45.1,,3.3,,12,,83,96.67,"Rain, Overcast"
,"30308, USA",,12/29/2018,59.5,45.7,52,44.4,,0,,8.8,,44.1,82.42,Partially cloudy
,"30308, USA",,12/30/2018,54.3,49.9,52,48.3,,0.4,,4.7,,99,95.42,"Rain, Overcast"
,"30308, USA",,12/31/2018,69.4,54.3,61.3,,,0,,14.6,,79.6,91.62,Overcast
